website,link,price_crawled,price_DOP,title,rooms,bathrooms,location_crawled,sector,province,square_footage,amenities,amount_amenities,image_link
supercasas,https://www.supercasas.com/casas-alquiler-arroyo-hondo-ii/1300731/,"US$ 1,300/Mes",71292.0,Arroyo Hondo II,3.0,2.5,"Arroyo Hondo II, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,332.0,1/2 Ba�o-Balc�n-Cisterna-Cuarto de Servicio-Estudio-Patio-Seguridad 24 Horas-Shutters-Terraza-Vestidores-Walk In Closet,11.0,https://img.supercasas.com/AdsPhotos/800x600/0/9017137.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-mirador-sur/1304685/,"US$ 1,200/Mes",65808.0,Mirador Sur,3.0,2.5,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,148.0,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Gimnasio-Lobby-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores-Walk In Closet,15.0,https://img.supercasas.com/AdsPhotos/800x600/0/9058930.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-av--monumental/1304321/,"RD$ 32,500/Mes",31404.451915401976,Av. Monumental,3.0,2.0,"Av. Monumental, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,113.0,Area de Juegos Infantiles-Balc�n-Cuarto de Servicio-Seguridad 24 Horas-Walk In Closet,5.0,https://img.supercasas.com/AdsPhotos/800x600/0/9054918.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-la-esperilla/1304683/,"US$ 1,700/Mes",93228.0,La Esperilla,2.0,2.5,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,92.0,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Vestidores-Walk In Closet,15.0,https://img.supercasas.com/AdsPhotos/800x600/0/9058915.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-mirador-sur/1305915/,"US$ 2,300/Mes",126132.00000000001,Mirador Sur,3.0,2.5,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,195.0,1/2 Ba�o-Area Servicio Independiente-Ascensor-Cuarto de Servicio-Lobby-Planta El�ctrica-Seguridad 24 Horas-Terraza,8.0,https://img.supercasas.com/AdsPhotos/800x600/0/9072159.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-arroyo-hondo-viejo/1304709/,"US$ 1,500/Mes",82260.0,Arroyo Hondo Viejo,2.0,2.0,"Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,134.0,Area de Juegos Infantiles-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza-Vestidores-Walk In Closet,14.0,https://img.supercasas.com/AdsPhotos/800x600/0/9059149.jpg
supercasas,https://www.supercasas.com/apartamentos-venta-y-alquiler-boca-chica/1305270/,"US$ 1,100/Mes",60324.00000000001,Boca Chica,2.0,1.0,"Boca Chica, Boca Chica, Santo Domingo",Boca Chica,Santo Domingo,91.0,Agua Potable-Aire Acondicionado-Ascensor-Cisterna-Gimnasio-Lobby-Seguridad 24 Horas-Terraza,8.0,https://img.supercasas.com/AdsPhotos/800x600/0/9065434.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-ensanche-paraiso/1305486/,"US$ 1,800/Mes",98712.0,Ensanche Para�so,3.0,2.5,"Ensanche Para�so, Paraiso, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,137.0,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estudio-Inversor-Lobby-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores-Walk In Closet,16.0,https://img.supercasas.com/AdsPhotos/800x600/0/9067840.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-la-esperilla/1301419/,"US$ 1,100/Mes",60324.00000000001,La Esperilla,3.0,2.0,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,250.0,Cisterna-Control de Acceso-Cuarto de Servicio-Lobby-Planta El�ctrica-Seguridad 24 Horas-Vestidores-Walk In Closet,8.0,https://img.supercasas.com/AdsPhotos/800x600/0/9023999.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-mirador-sur/1305912/,"US$ 1,000/Mes",54840.0,Mirador Sur,1.0,1.0,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,45.0,Ascensor-Lobby-Planta El�ctrica-Seguridad 24 Horas,4.0,https://img.supercasas.com/AdsPhotos/800x600/0/9072136.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1302673/,US$ 850/Mes,46614.0,Naco,1.0,1.5,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,72.0,1/2 Ba�o-Ascensor-Balc�n-Cisterna-Control de Acceso-Gimnasio-Lobby-Planta El�ctrica-Seguridad 24 Horas-Terraza-Vestidores-Walk In Closet,12.0,https://img.supercasas.com/AdsPhotos/800x600/0/9036827.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-mirador-norte/1304975/,"US$ 1,600/Mes",87744.0,Mirador Norte,3.0,3.5,"Mirador Norte, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,295.0,1/2 Ba�o-Ascensor-Balc�n-Family Room-Planta El�ctrica-Seguridad 24 Horas,6.0,https://img.supercasas.com/AdsPhotos/800x600/0/9062090.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1305745/,"US$ 1,100/Mes",60324.00000000001,Piantini,1.0,1.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,50.0,Ascensor-Balc�n-Gimnasio-Piscina-Seguridad 24 Horas,5.0,https://img.supercasas.com/AdsPhotos/800x600/0/9070369.jpg
supercasas,https://www.supercasas.com/casas-alquiler-arroyo-hondo-viejo/1299902/,"US$ 2,700/Mes",148067.99999999997,Arroyo Hondo Viejo,4.0,3.0,"Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,450.0,1/2 Ba�o-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Estudio-Family Room-Piscina-Pozo-Seguridad 24 Horas-Terraza-Vestidores-Walk In Closet,14.0,https://img.supercasas.com/AdsPhotos/800x600/0/9008601.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-serralles/1301636/,"US$ 1,200/Mes",65808.0,Serralles,3.0,2.0,"Serralles, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,147.0,1/2 Ba�o-Cuarto de Servicio-Seguridad 24 Horas,3.0,https://img.supercasas.com/AdsPhotos/800x600/0/9026188.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-arroyo-hondo-viejo/1302310/,"RD$ 40,000/Mes",38651.63312664859,Arroyo Hondo Viejo,3.0,3.0,"Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,260.0,1/2 Ba�o-Balc�n-Patio-Terraza,4.0,https://img.supercasas.com/AdsPhotos/800x600/0/9032930.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-el-millon/1301834/,"US$ 1,500/Mes",82260.0,El Millon,3.0,3.0,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,250.0,1/2 Ba�o-Area de Juegos Infantiles-Terraza,3.0,https://img.supercasas.com/AdsPhotos/800x600/0/9028076.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1303329/,"US$ 1,200/Mes",65808.0,Evaristo Morales,1.0,1.0,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,80.0,1/2 Ba�o-Area de Juegos Infantiles-Balc�n-Gimnasio-Jacuzzi,5.0,https://img.supercasas.com/AdsPhotos/800x600/0/9043912.jpg
supercasas,https://www.supercasas.com/casas-alquiler-arroyo-hondo-viejo/1301810/,"US$ 1,500/Mes",82260.0,Arroyo Hondo Viejo,3.0,2.5,"Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,300.0,1/2 Ba�o-Cuarto de Servicio-Estudio-Terraza,4.0,https://img.supercasas.com/AdsPhotos/800x600/0/9027853.jpg
